//怪物的装备exp设置DB，系统读入itemdb后，会再读入这个DB。执行@reloadjapp重读此文件。
//怪物ID,怪物名称,怪物中文名,装备经验
//ID,Name,JName,EP
1001,SCORPION,蝎子,17
1002,PORING,波利,1
1003,TESTEGG,TEST用卵,1
1004,HORNET,蜂兵,1
1005,FARMILIAR,吸血蝙蝠,1
1006,THIEF_BUG_LARVA,盗虫,1
1007,FABRE,绿棉虫,1
1008,PUPA,虫蛹,1
1009,CONDOR,秃鹰,1
1010,WILOW,树精,1
1011,CHONCHON,苍蝇,1
1012,RODA_FROG,罗达蛙,1
1013,WOLF,狼,2
1014,SPORE,魔菇,1
1015,ZOMBIE,腐尸,4
1016,ARCHER_SKELETON,邪骸弓箭手,35
1017,THIEF_BUG_FEMALE,盗虫,1
1018,CREAMY,克瑞米,5
1019,PECOPECO,大嘴鸟,3
1020,MANDRAGORA,曼陀罗魔花,2
1021,THIEF_BUG_MALE,盗虫,1
1022,WERE_WOLF,狼人,639
1023,ORK_WARRIOR,兽人战士,17
1024,WORM_TAIL,森灵,3
1025,SNAKE,青蛇,4
1026,MUNAK,殭尸,31
1027,RAPTICE,RAPTICE,1
1028,SOLDIER_SKELETON,邪骸士兵,28
1029,ISIS,蛇女伊丝,102
1030,ANACONDAQ,黄蛇,15
1031,POPORING,波波利,4
1032,VERIT,木乃伊犬,64
1033,ELDER_WILOW,长老树精,10
1034,THARA_FROG,突变蛙,13
1035,HUNTER_FLY,赤苍蝇,91
1036,GHOUL,绿腐尸,69
1037,SIDE_WINDER,黑蛇,99
1038,OSIRIS,俄赛里斯,1142
1039,BAPHOMET,巴风特,1499
1040,GOLEM,巨石怪,19
1041,MUMMY,木乃伊,56
1042,STEEL_CHONCHON,绿苍蝇,6
1043,SEAHORES,海马,7
1044,OBEAUNE,人鱼,37
1045,MARC,马克,57
1046,DOPPELGANGER,死灵,788
1047,PECOPECO_EGG,大嘴鸟蛋,1
1048,THIEF_BUG_EGG,盗虫卵,1
1049,PICKY,小鸡,1
1050,PICKY_,蛋壳小鸡,1
1051,THIEF_BUG,盗虫,1
1052,ROCKER,摇滚蝗虫,1
1053,THIEF_BUG_,浮勒盗虫,1
1054,THIEF_BUG__,玛勒盗虫,9
1055,MUKA,摩卡,4
1056,SMOKIE,狸猫,7
1057,YOYO,溜溜猴,8
1058,METALLER,重金属蝗虫,13
1059,MISTRESS,蜂后,849
1060,BIGFOOT,大脚熊,19
1061,NIGHTMARE,梦魇,141
1062,PORING_,圣诞波利,1
1063,LUNATIC,疯兔,1
1064,MEGALODON,邪骸食人鱼,16
1065,STROUF,海神,77
1066,VADON,螃蟹,8
1067,CORNUTUS,卡那多斯,15
1068,HYDRA,海葵,3
1069,SWORD_FISH,异变鱼,33
1070,KUKRE,库克雷,2
1071,PIRATE_SKEL,邪骸海盗,18
1072,KAHO,卡浩,246
1073,CRAB,卡拉蟹,10
1074,SHELLFISH,蛤蜊,4
1075,TURTLE,海龟,1
1076,SKELETON,邪骸战士,1
1077,POISON_SPORE,毒魔菇,9
1078,RED_PLANT,红草,1
1079,BLUE_PLANT,蓝草,1
1080,GREEN_PLANT,绿草,1
1081,YELLOW_PLANT,黄草,1
1082,WHITE_PLANT,白草,1
1083,SHINING_PLANT,光芒草,1
1084,BLACK_MUSHROOM,黑菇,1
1085,RED_MUSHROOM,红菇,1
1086,GOLDEN_BUG,黄金虫,405
1087,ORK_HERO,兽人英雄,1067
1088,VOCAL,摇滚蝗虫王,7
1089,TOAD,蛙王,2
1090,MASTERING,波利之王,1
1091,DRAGON_FLY,苍蝇王,1
1092,VAGABOND_WOLF,流浪之狼,17
1093,ECLIPSE,疯兔之王,1
1094,AMBERNITE,蜗牛,3
1095,ANDRE,白蚁,6
1096,ANGELING,天使波利,10
1097,ANT_EGG,蚁卵,1
1098,ANUBIS,安毕斯,204
1099,ARGIOPE,艾吉欧蜈蚣,87
1100,ARGOS,艾斯蜘蛛,19
1101,BAPHOMET_,小巴风特,153
1102,BATHORY,巫婆,109
1103,CARAMEL,刺蝟虫,15
1104,COCO,松鼠,6
1105,DENIRO,兵蚁,8
1106,DESERT_WOLF,沙漠之狼,24
1107,DESERT_WOLF_B,沙漠幼狼,1
1108,DEVIACE,狄奥斯,127
1109,DEVIRUCHI,小恶魔,124
1110,DOKEBI,土人,45
1111,DRAINLIAR,红蝙蝠,18
1112,DRAKE,海盗之王,686
1113,DROPS,土波利,1
1114,DUSTINESS,猎蝇,12
1115,EDDGA,虎王,527
1116,EGGYRA,转转蛋,17
1117,EVIL_DRUID,闇神官,227
1118,FLORA,噬人花,21
1119,FRILLDORA,伞蜥,33
1120,GHOSTRING,幽灵波利,7
1121,GIEARTH,基尔瑟,30
1122,GOBLIN_1,刺刀哥布灵(长男),19
1123,GOBLIN_2,链锤哥布灵(次男),17
1124,GOBLIN_3,大斧哥布灵(三男),17
1125,GOBLIN_4,榔头哥布灵(四男),15
1126,GOBLIN_5,刺锤哥布灵(五男),13
1127,HODE,蚯蚓,22
1128,HORN,锹形虫,7
1129,HORONG,鬼火,48
1130,JAKK,南瓜先生,67
1131,JOKER,裘卡,226
1132,KHALITZBURG,卡利斯格,298
1133,KOBOLD_1,大斧犬妖(长男),57
1134,KOBOLD_2,榔头犬妖(次男),38
1135,KOBOLD_3,刺锤犬妖(三男),37
1136,KOBOLD_4,犬妖四男,32
1137,KOBOLD_5,犬妖五男,32
1138,MAGNOLIA,魔锅蛋,22
1139,MANTIS,螳螂,22
1140,MARDUK,马尔杜克,77
1141,MARINA,水母,12
1142,MARINE_SPHERE,气泡虫,27
1143,MARIONETTE,傀儡娃娃,85
1144,MARSE,乌贼,36
1145,MARTIN,土拨鼠,7
1146,MATYR,黑狐,39
1147,MAYA,蚁后,937
1148,MEDUSA,梅杜莎,570
1149,MINOROUS,米洛斯,168
1150,MOONLIGHT,月夜猫,579
1151,MYST,麦斯特,69
1152,ORC_SKELETON,邪骸兽人,25
1153,ORC_ZOMBIE,兽人腐尸,16
1154,PASANA,帕莎纳,268
1155,PETIT,毕帝特地龙,103
1156,PETIT_,毕帝特飞龙,110
1157,PHARAOH,法老王,1850
1158,PHEN,剑鱼,21
1159,PHREEONI,皮里恩,653
1160,PIERE,工蚁,7
1161,PLANKTON,漂浮虫,1
1162,RAFFLESIA,草精,9
1163,RAYDRIC,幽灵剑士,175
1164,REQUIEM,诺可伊,51
1165,SAND_MAN,泥人,48
1166,SAVAGE,野猪,21
1167,SAVAGE_BABE,小野猪,1
1168,SCORPION_KING,蝎子之王,149
1169,SKEL_WORKER,邪骸矿工,31
1170,SOHEE,鬼女,44
1171,SOLDIER_ANDRE,白蚁士兵,13
1172,SOLDIER_DENIRO,兵蚁士兵,29
1173,SOLDIER_PIERE,工蚁士兵,15
1174,STAINER,瓢虫,5
1175,TAROU,白鼠,2
1176,VITATA,黑蚁,10
1177,ZENORC,兹诺克,39
1178,ZEROM,杰洛米,15
1179,WHISPER,白幽灵,47
1180,NINE_TAIL,九尾狐,149
1181,ZOMBIE_DRAGON,腐尸龙,341
1182,THIEF_MUSHROOM,盗蘑菇,1
1183,CHONCHON_,苍蝇_,1
1184,FABRE_,绿棉虫,1
1185,WHISPER_,白幽灵,47
1186,WHISPER_BOSS,巨大白幽灵,47
1187,SWITCH,开关,1
1188,BON_GUN,妖道,37
1189,ORC_ARCHER,兽人弓箭手,141
1190,ORC_LORD,兽人酋长,877
1191,MIMIC,邪恶箱,135
1192,WRAITH,恶灵,171
1193,ALARM,钟怪,237
1194,ARCLOUSE,卷甲虫,218
1195,RIDEWORD,飞行魔书,239
1196,SKEL_PRISONER,邪骸战俘,167
1197,ZOMBIE_PRISONER,腐尸战俘,178
1198,DARK_PRIEST,暗黑祭司,247
1199,PUNK,朽魔,98
1200,ZHERLTHSH,艾斯恩魔女,289
1201,RYBIO,里毕欧,423
1202,PHENDARK,电精,457
1203,MYSTELTAINN,弑神者,516
1204,TIRFING,兽牙怪,422
1205,EXECUTIONER,行刑者,330
1206,ANOLIAN,虎蜥人,299
1207,STING,史汀,274
1208,WANDER_MAN,邪骸浪人,475
1209,CRAMP,蓝鼠,201
1210,FILAMENTOUS,曼斯锹型虫,155
1211,BRILIGHT,伊特瓢虫,118
1212,IRON_FIST,铁蝎,124
1213,HIGH_ORC,兽人战士长,176
1214,CHOCO,巧克猴,96
1215,STEM_WORM,灰森灵,80
1216,PENOMENA,梅纳海葵,219
1217,THIEF_BUG_LARVA,盗虫,1
1218,THIEF_BUG_LARVA,盗虫,1
1219,KNIGHT_OF_ABYSS,深渊骑士,591
1220,M_DESERT_WOLF,沙漠之狼_,24
1221,M_SAVAGE,野猪_,21
1222,L_HIGH_ORC,兽人战士长_,165
1223,L_ORC,兽人战士_,17
1224,L_POISON_SPORE,毒魔菇_,9
1225,L_CHOCO,巧克猴_,95
1226,L_KOBOLD,大斧犬妖(长男)_,56
1227,L_GOBLIN,刺刀哥布灵(长男)_,19
1228,L_PHEN,剑鱼_,21
1229,META_FABRE,绿棉虫_,1
1230,META_PUPA,虫蛹_,1
1231,META_CREAMY,克瑞米_,5
1232,META_PECOPECO_EGG,大嘴鸟蛋_,1
1233,CONCEIVE_PECOPECO,大嘴鸟_,3
1234,PROVOKE_YOYO,溜溜猴_,8
1235,SMOKING_ORC,兽人战士_,17
1236,META_ANT_EGG,蚁卵_,1
1237,META_ANDRE,白蚁_,6
1238,META_PIERE,工蚁_,7
1239,META_DENIRO,兵蚁_,8
1240,META_PICKY,小鸡_,1
1241,META_PICKY_,蛋壳小鸡_,1
1242,MARIN,冰波利,4
1243,SASQUATCH,雪熊,33
1244,JAKK_XMAS,圣诞南瓜先生,67
1245,GOBLINE_XMAS,圣诞哥布灵,19
1246,COOKIE_XMAS,甜饼人,27
1247,ANTONIO,邪恶老公公,1
1248,CRUISER,玩具士兵,53
1249,MYSTCASE,邪恶礼盒,67
1250,CHEPET,魔灵娃娃,91
1251,KNIGHT_OF_WINDSTORM,冰暴骑士,1029
1252,GARM,卡仑,856
1253,GARGOYLE,蝙蝠弓箭手,133
1254,RAGGLER,奈吉鸟,12
1255,NERAID,奈利虫,76
1256,PEST,单眼虫,77
1257,INJUSTICE,邪恶使者,157
1258,GOBLIN_ARCHER,哥布灵弓箭手,27
1259,GRYPHON,狮鹰兽,442
1260,DARK_FRAME,镜妖,252
1261,WILD_ROSE,狂暴野猫,67
1262,MUTANT_DRAGON,半龙人,330
1263,WIND_GHOST,风魔巫师,157
1264,MERMAN,人鱼士兵,185
1265,COOKIE,绿饼人,19
1266,ASTER,海星,7
1267,CARAT,卡拉特小丑,155
1268,BLOODY_KNIGHT,血腥骑士,664
1269,CLOCK,古钟魔,258
1270,C_TOWER_MANAGER,钟塔守护者,298
1271,ALLIGATOR,鳄鱼人,89
