// Monsters that can be summon by using a dead branch.
// ---- Translation by Panda
// MobID, MobName(Dummy), Rate
// Monster ID, Monster's Name (Dummy), the probability is (*10000) so if 500000 then it is 50% and if 1000000 then it is 100%.)
// Monster ID‚ However if the the pobability fails, it will select the monster ID 0 (in case of multiple, only the last one will be selected)
// A Gravity Error will occur if the sprite of the monster is not present client side
// And, it is noted not to log in while the enemy is near the character.

0,Poring,1002
1001,Scorpion,50000
1002,Poring,50000
//1003 Test Egg
1004,Hornet,50000
1005,Familiar,50000
//1006 Thief Bug
1007,Fabre,50000
1008,Pupa,50000
1009,Condor,50000
1010,Willow,50000
1011,Chonchon,50000
1012,Roda Frog,50000
1013,Wolf,50000
1014,Spore,50000
1015,Zombie,50000
1016,Archer Skeleton,50000
//1017 Thief Bug
1018,Creamy,50000
1019,Pecopeco,50000
1020,Mandragora,50000
//1021 Thief Bug
//1022,Were Wolf,50000
1023,Orc Warrior,50000
1024,Wormtail,50000
1025,Snake,50000
1026,Munak,50000
//1027,Raptice,50000
1028,Soldier Skeleton,50000
1029,Isis,50000
1030,Anacondaq,50000
1031,Poporing,50000
1032,Verit,50000
1033,Elder Willow,50000
1034,Thara Frog,50000
1035,Hunter Fly,50000
1036,Ghoul,50000
1037,Side Winder,50000
//1038,Osiris,100
//1039,Baphomet,100
1040,Golem,50000
1041,Mummy,50000
1042,Steel Chonchon,50000
1044,Obeaune,50000
1045,Marc,50000
//1046,Doppelganger,100
1047,Pecopeco Egg,50000
1048,Thief Bug Egg,50000
1049,Picky,50000
1050,Shell Picky,50000
1051,Thief Bug,50000
1052,Rocker,50000
1053,Thief Bug Female,50000
1054,Thief Bug,50000
1055,Muka,50000
1056,Smokie,50000
1057,Yoyo,50000
1058,Metaller,50000
//1059,Mistress,100
1060,Bigfoot,50000
1061,Nightmare,50000
1062,Santa Poring,50000
1063,Lunatic,50000
1064,Megalodon,50000
1065,Strouf,50000
1066,Vadon,50000
1067,Cornutus,50000
1068,Hydra,50000
1069,Swordfish,50000
1070,Kukre,50000
1071,Pirate Skeleton,50000
1072,Kaho,50000
1073,Crab,50000
1074,Shellfish,50000
//1075,Turtle,50000
1076,Skeleton,50000
1077,Poison Spore,50000
1078,Red Plant,50000
1079,Blue Plant,50000
1080,Green Plant,50000
1081,Yellow Plant,50000
1082,White Plant,50000
1083,Shining Plant,50000
1084,Black Mushroom,50000
1085,Red Mushroom,50000
//1086,Golden Thief Bug,100
//1087,Orc Hero,100
1088,Vocal,20000
1089,Toad,20000
1090,Mastering,20000
1091,Dragon Fly,20000
1092,Vagabond Wolf,20000
1093,Eclipse,20000
1094,Ambernite,50000
1095,Andre,50000
1096,Angeling,20000
1097,Ant Egg,50000
//1098,Anubis,50000
1099,Argiope,50000
1100,Argos,50000
1101,BaphometJr.,50000
1102,Bathory,50000
1103,Caramel,50000
1104,Coco,50000
1105,Deniro,50000
1106,Desert Wolf,50000
1107,Baby Desert Wolf,50000
1108,Deviace,50000
1109,Deviruchi,50000
1110,Dokebi,50000
1111,Drainliar,50000
//1112,Drake,100
1113,Drops,50000
1114,Dustiness,50000
//1115,Eddga,100
1116,Eggyra,50000
1117,Evil Druid,50000
1118,Flora,50000
1119,Frilldora,50000
1120,Ghostring,20000
1121,Giearth,50000
1122,Goblin,50000
1123,Goblin,50000
1124,Goblin,50000
1125,Goblin,50000
1126,Goblin,50000
1127,Hode,50000
1128,Horn,50000
1129,Horong,50000
1130,Jakk,50000
1131,Joker,50000
1132,Khalitzburg,50000
1133,Kobold,50000
1134,Kobold,50000
1135,Kobold,50000
//1136,Kobold,50000
//1137,Kobold,50000
1138,Magnolia,50000
1139,Mantis,50000
1140,Marduk,50000
1141,Marina,50000
1142,Marine Sphere,50000
1143,Marionette,50000
1144,Marse,50000
1145,Martin,50000
1146,Matyr,50000
//1147,Maya,100
1148,Medusa,50000
1149,Minorous,50000
//1150,Moonlight Flower,100
1151,Myst,50000
1152,Orc Skeleton,50000
1153,Orc Zombie,50000
1154,Pasana,50000
1155,Petit,50000
1156,Petit,50000
//1157,Pharaoh,100
1158,Phen,50000
//1159,Phreeoni,100
1160,Piere,50000
1161,Plankton,50000
//1162,Rafflesia,50000
1163,Raydric,50000
1164,Requiem,50000
1165,Sandman,50000
1166,Savage,50000
1167,Savage Babe,50000
//1168,Scorpion King,50000
1169,Skel Worker,50000
1170,Sohee,50000
//1171,Soldier Andre,50000
//1172,Soldier Deniro,50000
//1173,Soldier Piere,50000
1174,Stainer,50000
1175,Tarou,50000
1176,Vitata,50000
1177,Zenorc,50000
1178,Zerom,50000
1179,Whisper,50000
1180,Nine Tail,50000
//1181,Dragon Zombie,50000
//1182,Thief Mushroom,50000
1183,Chonchon,50000
1184,Fabre,50000
//1185,Whisper,50000
1186,Whisper Boss,50000
//1187,Switch,50000
1188,Bon Gun,50000
1189,Orc Archer,50000
//1190,Orc Lord,100
1191,Mimic,50000
1192,Wraith,50000
1193,Alarm,50000
1194,Arclouse,50000
1195,Rideword,50000
1196,Skel Prisoner,50000
1197,Zombie Prisoner,50000
//1198,Dark Priest,50000
1199,Punk,50000
1200,Zealotus,20000
1201,Rybio,50000
1202,Phendark,50000
1203,Mysteltainn,20000
1204,Ogretooth,20000
1205,Executioner,20000
1206,Anolian,50000
1207,Sting,50000
1208,Wanderer,50000
1209,Cramp,50000
//1210,Filamentous,200000
1211,Brilight,50000
1212,Iron Fist,50000
1213,High Orc,50000
1214,Choco,50000
1215,Stem Worm,50000
1216,Penomena,50000
1219,Abysmal Knight,50000
//Unused monsters or summons
1242,Marin,50000
1243,Sasquatch,50000
//1244,Xmas Jakk,50000
1245,Xmas Goblin,50000
1246,Cookie Xmas,50000
//1247,Antonio,50000
1248,Cruiser,50000
1249,Mystcase,50000
1250,Chepet,50000
//1251,Stormy Knight,100
//1252,Hatii,100
1253,Gargoyle,50000
1254,Raggler,50000
1255,Neraid,50000
1256,Pest,50000
1257,Injustice,50000
1258,Goblin Archer,50000
1259,Gryphon,20000
1260,Dark Frame,50000
1261,Wild Rose,50000
1262,Mutant Dragonoid,20000
1263,Wind Ghost,50000
1264,Merman,50000
1265,Cookie,50000
1266,Aster,50000
1267,Carat,50000
1268,Bloody Knight,50000
1269,Clock,50000
1270,Tower Keeper,50000
1271,Alligator,50000
//1272,Dark Lord,100
1273,Orc Lady,50000
1274,Megalith,50000
1275,Alice,50000
1276,Raydric Archer,50000
1277,Greatest General,50000
1278,Stalactic Golem,50000
1280,Steam Goblin,50000
1281,Sageworm,50000
1283,Chimera,20000
//1284-1288 Guardians and Emperium
1289,Maya Purple,20000
1290,Skeleton General,50000
1291,Wraith Dead,50000
1292,Mini Demon,50000
1293,Creamy Fear,50000
1294,Killer Mantis,50000
1295,Owl Baron,20000
1296,Kobold Leader,50000
1297,Ancient Mummy,50000
1298,Zombie Master,50000
1299,Goblin Leader,50000
1300,Caterpillar,50000
1301,Am Mut,50000
1302,Dark Illusion,20000
1303,Giant Hornet,50000
1304,Giant Spider,50000
1305,Ancient Worm,50000
1306,Leib Olmai,50000
1307,Cat o' Nine Tail,20000
1308,Panzer Goblin,50000
1309,Gajomart,50000
1310,Majoruros,50000
1311,Gullinbursti,50000
//1312,Turtle General,100
1313,Mobster,50000
1314,Permeter,50000
1315,Assulter,50000
1316,Solider,50000
1317,Seal,50000
1318,Heater,50000
1319,Freezer,50000
1320,Owl Duke,20000
1321,Dragon Tail,50000
1322,Spring Rabbit,50000
1323,Sea Otter,50000
//1324-1363 Treasure Chests
//1364
1365,Apocalips,50000
1366,Lava Golem,50000
1367,Blazzer,50000
1368,Geographer,50000
1369,Grand Peco,50000
1370,Succubus,50000
1371,Fake Angel,50000
1372,Goat,50000
//1373,Lord of Death,100
1374,Incubus,50000
1375,The Paper,50000
1376,Harpy,50000
1377,Elder,50000
1378,Demon Pungus,50000
1379,Nightmare Terror,50000
1380,Driller,50000
1381,Grizzly,50000
1382,Diabolic,50000
1383,Explosion,50000
1384,Deleter,50000
1385,Deleter,50000
1386,Sleeper,50000
1387,Gig,50000
1388,Archangeling,20000
//1389,Dracula,100
1390,Violy,50000
1391,Galapago,50000
1392,Rotar Zairo,50000
//1393 Mummy
//1394 Zombie
//1395-1398 Crystal
//1399,Event Baphomet,50000
1400,Karakasa,50000
1401,Shinobi,50000
1402,Poisonous Toad,50000
1403,Firelock Soldier,50000
1404,Miyabi Doll,50000
1405,Tengu,50000
1406,Kapha,50000
//1407 Dokebi
1408,Bloody Butterfly,50000
1409,Dumpling Child,50000
1410,Enchanted Peach Tree,50000
//1411 Enchanted Peach Tree Bullet
1412,Taoist Hermit,50000
1413,Hermit Plant,50000
//1414 Hermit Plant Bullet
1415,Baby Leopard,50000
1416,Evil Nymph,50000
1417,Zipper Bear,50000
//1418,Evil Snake Lord,100
//1419-1491 Arena Monsters
//1492,Samurai Specter,100
1493,Dryad,50000
1494,Beetle King,50000
1495,Stone Shooter,50000
//1496 Stone Shooter Bullet
1497,Wooden Golem,50000
1498,Wootan Shooter,50000
1499,Wootan Fighter,50000
1500,Parasite,50000
//1501 Parasite Bullet
//1502,Fire Poring,50000
1503,Gibbet,50000
1504,Dullahan,50000
1505,Loli Ruri,50000
1506,Disguise,50000
1507,Bloody Murderer,50000
1508,Quve,50000
1509,Lude,50000
1510,Heirozoist,50000
//1511,Amon Ra,100
1512,Yao Jun,50000
1513,Mao Guai,50000
1514,Zhu Po Long,50000
1515,Baby Hatii,50000
1516,Mi Gao,50000
1517,Li Me Mang Ryang,50000
//1518,Bacsojin,100
//1519,Chung E,20000
//1520,Boiled Rice,50000
//1521-1581 Arena Monsters
1582,Deviling,20000
//1583,Tao Gunka,100
1584,Tamruan,50000
//1585,Mime Monkey,50000
1586,Leaf Cat,50000
1587,Kraben,50000
//1588,Xmas Orc,50000
//1589-1612 There is no drop or experience value
1613,Metaling,50000
1614,Mineral,50000
1615,Obsidian,50000
1616,Pitman,50000
1617,Waste Stove,50000
1618,Ungoliant,50000
1619,Porcellio,50000
1620,Noxious,50000
1621,Venomous,50000
1622,Teddy Bear,50000
//1623,RSX-0806,100
//1624-1625 There is no drop or experience value
//1626,Dark Priest,100
1627,Anopheles,50000
1628,Mole,50000
1629,Hill Wind,50000
//1630,Bacsojin,100
1631,Chung E,50000
1632,Gremlin,50000
1633,Beholder,50000
//1634-1663 'Human' monsters.
1664,Photon Canon,50000
1665,Photon Canon,50000
1666,Photon Canon,50000
1667,Photon Canon,50000
1668,Archdam,50000
//1669,Dimik,50000
1670,Dimik,50000
1671,Dimik,50000
1672,Dimik,50000
1673,Dimik,50000
//1674,Monemus,50000
//1675,Venatu,50000
1676,Venatu,50000
1677,Venatu,50000
1678,Venatu,50000
1679,Venatu,50000
1680,Hill Wind,50000
1681,Gemini-S58,20000
1682,Removal,50000
//1683,Photon Canon,50000
//1684,Archdam,50000
//1685,Vesper,100
1686,Orc Baby,50000
1687,Green Iguana,50000
//1688,Lady Tanee,100
//1689,Bacsojin,100
//1690,Spring Rabbit,50000
//1691,Kraben,50000
1692,Breeze,50000
1693,Plasma,50000
1694,Plasma,50000
1695,Plasma,50000
1696,Plasma,50000
1697,Plasma,50000
1698,Deathword,50000
1699,Ancient Mimic,50000
1700,Observation,20000
1701,Shelter,20000
1702,Retribution,20000
1703,Solace,20000
1704,Thanatos' Hatred,20000
1705,Thanatos' Despair,20000
1706,Thanatos' Suffering,20000
1707,Thanatos' Sadness,20000
//1708,Thanatos' Memory,100
//1709-1712 Thanatos' ghosts.
1713,Acidus,50000
1714,Ferus,50000
1715,Novus,50000
1716,Acidus,50000
1717,Ferus,50000
1718,Novus,50000
//1719,Detale,100
1720,Hydro,20000
1721,Dragon Egg,50000
