// mob_db.txt, Custom Monster Database
//
// Structure of Database:
//ID,DatabaseName,DisplayName,Level,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Size,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
//
//Slave Mobs
1595,G_MARIN,Marin,15,742,0,66,44,1,39,43,0,10,1,10,10,5,35,15,10,12,1,3,41,129,400,1872,672,480,910,3200,938,1500,512,50,720,40,510,75,529,350,5035,1,0,0,0,0,4196,1,0,0,0,0,0,0,0,0
1596,G_TAMRUAN,Tamruan,52,10234,0,3812,55,3,489,534,15,35,1,2,38,75,72,15,10,12,2,6,67,133,200,1872,672,480,7301,3000,7069,2500,1117,100,1155,10,2315,1,0,0,0,0,0,0,0,0,4304,1,0,0,0,0,0,0,0,0

// Size/Scale:
// 0-Small, 1-Medium, 2-Large
//
// Race: 
// 0-Formless, 1-Undead, 2-Beast, 3-Plant, 4-Insect, 5-Fish, 6-Demon, 7-Demi-Human, 8-Angel, 9-Dragon, 10-Boss, 11-Non-Boss
//
// Element: 0-None, 1-Neutral, 2-Water, 3-Earth, 4-Fire, 5-Wind, 6-Poison, 7-Holy, 8-Dark, 9-Ghost, 10-Undead
//
// Mode:
// 1: Can Move, 2: Loots, 4: Aggressive, 8: Assists Race (Ex: Wolf), 16: Spell-Detector, 32: Can Spawn Minions, 64: Plant/Mushroom, 128: Is Not a Plant/Mushroom
// Add These Up to Get Your Result
// Main Combinations: 64: Plants/Mushrooms, 128: Passive & Immobile, 129: Normal Monster, 131: Looter, 132: Immobile Aggressive, 133: Aggressive, 137: Assists Race (Ex: Wolf), 139: Assists & Loots (Thief Bugs), 141: Aggressive & Assists, 145: Detector, 149: Aggressive & Detector, 171: Boss, Summons Minions, Assists & Loots (Golden Thief Bug), 181: Boss, Summons, Detector & Aggressive (MvP)

// Crusader quest monsters with poring stats
1910,G_GHOUL,Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,30,10,12,1,3,21,131,400,1872,672,480,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,0,0,0,0,4001,20,0,0,0,0,0,0,0,0
1911,G_KHALITZBURG,Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,30,10,12,1,3,21,131,400,1872,672,480,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,0,0,0,0,4001,20,0,0,0,0,0,0,0,0
1912,G_INJUSTICE,Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,30,10,12,1,3,21,131,400,1872,672,480,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,0,0,0,0,4001,20,0,0,0,0,0,0,0,0
1913,G_REQUIEM,Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,30,10,12,1,3,21,131,400,1872,672,480,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,0,0,0,0,4001,20,0,0,0,0,0,0,0,0
1914,G_RAYDRIC_ARCHER,Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,30,10,12,1,3,21,131,400,1872,672,480,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,0,0,0,0,4001,20,0,0,0,0,0,0,0,0

// Easter Events Monsters
1920,EASTER_EGG,Easter Egg,3,300,0,4,4,0,1,2,20,20,1,1,1,1,1,20,10,12,0,0,60,128,1000,1001,1,1,1010,250,935,500,558,300,501,200,501,200,713,800,558,300,558,300,0,0,0,0,0,0,0,0,0,0,0,0
1921,EASTER_BUNNY,Easter Bunny,6,1800,0,60,55,1,20,26,0,40,1,36,6,1,11,80,10,10,0,2,60,181,200,1456,456,336,2250,200,515,8000,727,1200,746,1500,706,30,622,50,534,5000,0,0,0,0,4006,70,0,0,0,0,0,0,0,0

1992,PETIT__,Petit,44,6881,0,1677,1034,1,360,427,30,30,1,44,62,69,79,60,10,12,1,9,22,149,200,1624,620,384,1035,5500,1037,300,756,140,509,1000,1510,150,912,1500,606,15,0,0,0,0,4118,1,0,0,0,0,0,0,0,0
1993,SAVAGE_BABE_,Savage Babe,7,182,0,14,12,1,20,25,0,0,1,7,14,5,12,35,10,12,0,2,22,129,400,1624,624,576,919,5500,1302,100,517,500,1750,1000,949,850,1010,80,627,20,0,0,0,0,4017,1,0,0,0,0,0,0,0,0
1994,SOHEE_,Sohee,33,5628,0,739,455,1,210,251,0,10,1,33,33,10,58,15,10,12,1,6,21,145,300,2112,912,576,1020,5500,1049,50,2277,1,2504,5,1217,5,501,1000,0,0,0,0,0,0,4100,1,0,0,0,0,0,0,0,0
1995,BON_GUN_,Bon Gun,32,3520,0,424,242,1,220,260,0,0,1,15,36,10,48,15,10,12,1,1,29,149,200,1720,500,420,1094,5500,7014,40,618,60,2337,2,609,15,508,1000,502,250,5046,1,0,0,0,0,0,0,0,0,0,0,0,0
