// item_purplebox.txt, Old Purple Box Database
//
// <Item_ID>,<Description (Dummy)>,<Rate>
//
// Rate Examples
// 10000   = 1%
// 500000  = 50%
// 1000000 = 100%
//
// Accurate to Aegis X.3

0,DEFAULT,617	// Old Purple Box
2102,,70000	// Guard
2104,,70000	// Buckler
2106,,70000	// Shield
2108,,70000	// Mirror Shield
2109,,70000	// Memory Book
2112,,70000	// Novice Guard
2302,,70000	// Cotton Shirt
2304,,70000	// Jacket
2306,,70000	// Adventurer's Suit
2308,,70000	// Mantle
2310,,70000	// Coat
2311,,70000	// Mink Coat
2313,,70000	// Padded Armor
2315,,70000	// Chain Mail
2317,,70000	// Full Plate
2318,,70000	// Lord's Clothes
2320,,70000	// Formal Suit
2322,,70000	// Silk Robe
2324,,70000	// Scapulare
2326,,70000	// Saint's Robe
2329,,70000	// Wooden Mail
2331,,70000	// Tights
2333,,70000	// Silver Robe
2336,,70000	// Thief Clothes
2337,,70000	// Ninja Suit
2338,,70000	// Wedding Dress
2339,,70000	// Pantie
2340,,70000	// Novice Breastplate
2352,,70000	// Tattered Novice Ninja Suit
2402,,70000	// Sandals
2404,,70000	// Shoes
2406,,70000	// Boots
2407,,70000	// Crystal Pumps
2408,,70000	// Shackles
2409,,70000	// High Heels
2411,,70000	// Greaves
2414,,70000	// Novice Slippers
2502,,70000	// Hood
2504,,70000	// Muffler
2506,,70000	// Manteau
2507,,70000	// Ancient Cape
2508,,70000	// Ragamuffin Manteau
2510,,70000	// Somber Novice Hood
2601,,70000	// Ring
2602,,70000	// Earring
2603,,70000	// Necklace
2604,,70000	// Glove
2605,,70000	// Brooch
2607,,70000	// Clip
2608,,70000	// Rosary
2609,,70000	// Skull Ring
2610,,70000	// Gold Ring
2611,,70000	// Silver Ring
2612,,70000	// Flower Ring
2613,,70000	// Diamond Ring
2617,,70000	// Celebrant's Mitten
2618,,70000	// Matyr's Leash
2627,,70000	// Belt
2628,,70000	// Novice Armlet
1117,,70000	// Katana
1152,,70000	// Slayer
1155,,70000	// Bastard Sword
1158,,70000	// Two-Handed Sword
1162,,70000	// Broad Sword
1163,,70000	// Claymore
1251,,70000	// Jur
1253,,70000	// Katar
1255,,70000	// Jamadhar
1256,,70000	// Katar of Frozen Icicle
1257,,70000	// Katar of Quaking
1258,,70000	// Katar of Raging Blaze
1259,,70000	// Katar of Piercing Wind
1352,,70000	// Battle Axe
1355,,70000	// Hammer
1358,,70000	// Buster
1361,,70000	// Two-Handed Axe
1411,,70000	// Lance
1452,,70000	// Guisarme
1455,,70000	// Glaive
1458,,70000	// Partizan
1461,,70000	// Trident
1464,,70000	// Halberd
1472,,70000	// Soul Staff
1702,,70000	// Bow
1705,,70000	// Composite Bow
1708,,70000	// Great Bow
1711,,70000	// Crossbow
1715,,70000	// Arbalest
1716,,70000	// Gakkung Bow
1718,,70000	// Hunter Bow
1102,,70000	// Sword
1105,,70000	// Falchion
1108,,70000	// Blade
1111,,70000	// Rapier
1114,,70000	// Scimitar
1120,,70000	// Tsurugi
1124,,70000	// Orcish sword
1125,,70000	// Ring Pommel Saber
1127,,70000	// Saber
1128,,70000	// Haedonggum
1129,,70000	// Flamberge
1202,,70000	// Knife
1205,,70000	// Cutter
1208,,70000	// Main Gauche
1211,,70000	// Dirk
1214,,70000	// Dagger
1217,,70000	// Stiletto
1220,,70000	// Gladius
1226,,70000	// Damascus
1243,,70000	// Novice Main Gauche
1302,,70000	// Axe
1304,,70000	// Orcish Axe
1402,,70000	// Javelin
1405,,70000	// Spear
1408,,70000	// Pike
1502,,70000	// Club
1505,,70000	// Mace
1508,,70000	// Smasher
1511,,70000	// Flail
1514,,70000	// Morning Star
1517,,70000	// Sword Mace
1520,,70000	// Chain
1522,,70000	// Stunner
1550,,70000	// Book
1551,,70000	// Bible
1552,,70000	// Tablet
1553,,70000	// Book of Billows
1554,,70000	// Book of Mother Earth
1555,,70000	// Book of the Blazing Sun
1556,,70000	// Book of Gust of Wind
1558,,70000	// Girl's Diary
1602,,70000	// Rod
1605,,70000	// Wand
1608,,70000	// Staff
1611,,70000	// Arc Wand
1613,,70000	// Mighty Staff
1614,,70000	// Wand of Occult
1615,,70000	// Evil Bone Wand
1802,,70000	// Waghnak
1804,,70000	// Knuckle Duster
1806,,70000	// Studded Knuckles
1808,,70000	// Fist
1810,,70000	// Claw
1812,,70000	// Finger
1902,,70000	// Violin
1904,,70000	// Mandolin
1906,,70000	// Lute
