// skill_db.txt, Skills Database
//
// Structure of Database:
//
// ID,Range,Hit,Target,Element,SkillInfo1,MaxLv,ListNum,CastCancel,CastDefRate,SkillInfo2,MaxCount,SkillType,BlowCount
//
// 01 Skill ID
// 02 Range: Described In Cells
// 03 Hit: 8-Repeated Hitting, 6-Single-Hit
// 04 Target: 0-Passive, 1-Enemy, 2-Place, 4-Self, 16-Friend, 32-Trap
// 05 Element: 0-Nothing, 1-Water, 2-Earth, 3-Fire, 4-Wind, 5-Poison, 6-Holy, 7-Dark, 8-Sense, 9-Immortal
// 06 Skill Information #1: 0-Normal Skill, 1-No Damage Skill, 2-Splash Damage Skill
// 07 Maximum Skill Level
// 08 Hit Frequency: Number of Hits The Skill Does
// 09 Cast Cancelled: Cancelled-1, Not Cancelled-0
// 10 Ratio of The Defensive Power Which Decreases In 10 Castings (Defense-Reduction Rate During Cast)
// 11 Skill Information #2: 1-Quest Skill, 2-Npc Skill, 4-Wedding Skill
//    8-Spirit Skill, 16-Guild Skill, 32-Song/Dance, 64-Ensemble Skill
//    128-Trap (Targetable), 256-Skill That Damages/Targets Yourself
//    512-Cannot Be Casted On Self (if 06 = 4, auto-select target skill)
// 12 Attack Type: None, Weapon, Magic, Misc
// 13 Blowcount Amount of Tiles The Skill Knockbacks
//
// Note: Delete 7th entry when importing from eAthena
//

// First Class Skills
1,0,0,0,0,0,9,0,no,0,0,0,none,0	//NV_BASIC#Basic Skills#
2,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//SM_SWORD#Sword Mastery#
3,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//SM_TWOHAND#Two-Handed Sword Mastery#
4,0,0,0,0,0,10,0,no,0,0,0,none,0	//SM_RECOVERY#Increase HP Recovery#
5,1,6,1,0,0,10,1,no,0,0,0,weapon,0	//SM_BASH#Bash#
6,9,6,1,0,1,10,1,no,0,0,0,none,0	//SM_PROVOKE#Provoke#
7,0,6,4,3,2,10,1,no,0,0,0,weapon,2	//SM_MAGNUM#Magnum Break#
8,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//SM_ENDURE#Endure#
9,0,0,0,0,0,10,0,no,0,0,0,none,0	//MG_SRECOVERY#Increase SP Recovery#
10,3,6,4,3,1,1,1,yes,0,0,0,magic,0	//MG_SIGHT#Sight#
11,9,6,1,8,0,10,1,yes,0,0,0,magic,0	//MG_NAPALMBEAT#Napalm Beat#
12,9,8,2,8,0,10,1,yes,0,0,0,magic,0	//MG_SAFETYWALL#Safety Wall#
13,9,8,1,8,0,10,1:1:2:2:3:3:4:4:5:5,yes,0,0,0,magic,0	//MG_SOULSTRIKE#Soul Strike#
14,9,8,1,1,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_COLDBOLT#Cold Bolt#
15,9,6,1,1,0,10,1,yes,0,0,0,magic,0	//MG_FROSTDIVER#Frost Driver#
16,2,6,1,2,1,10,1,yes,0,0,0,magic,0	//MG_STONECURSE#Stone Curse#
17,9,6,1,3,0,10,1,yes,0,0,0,magic,0	//MG_FIREBALL#Fire Ball#
18,9,6,2,3,0,10,1,yes,0,0,3,magic,2	//MG_FIREWALL#Fire Wall#
19,9,8,1,3,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_FIREBOLT#Fire Bolt#
20,9,8,1,4,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_LIGHTNINGBOLT#Lightning Bolt#
21,9,8,2,4,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_THUNDERSTORM#Thunderstorm#
22,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AL_DP#Divine Protection#
23,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AL_DEMONBANE#Demon Bane#
24,2,6,4,6,1,1,1,yes,0,0,0,magic,0	//AL_RUWACH#Ruwach# 
25,9,6,2,0,1,1,1,yes,0,0,0,magic,0	//AL_PNEUMA#Pneuma#
26,0,6,4,0,1,2,1,yes,0,0,0,magic,0	//AL_TELEPORT#Teleport#
27,9,6,2,0,1,4,1,yes,0,0,3,magic,0	//AL_WARP#Warp Portal# 
28,9,6,16,6,1,10,1,yes,0,0,0,magic,0	//AL_HEAL#Heal# 
29,9,6,16,0,1,10,1,yes,0,0,0,magic,0	//AL_INCAGI#Increase AGI# 
30,9,6,1,0,1,10,1,yes,0,0,0,magic,0		//AL_DECAGI#Decrease AGI# 
31,0,6,4,0,1,1,1,yes,0,0,0,magic,0	//AL_HOLYWATER#Aqua Benedicta#
32,0,6,4,0,1,10,1,yes,0,0,0,magic,0	//AL_CRUCIS#Signum Crucis#
33,0,6,4,0,1,10,1,yes,0,0,0,magic,0	//AL_ANGELUS#Angelus#
34,9,6,16,0,1,10,1,yes,0,0,0,magic,0	//AL_BLESSING#Blessing# 
35,9,6,16,0,1,1,1,yes,0,0,0,magic,0	//AL_CURE#Cure# 
36,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_INCCARRY#Enlarge Weight Limit#
37,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_DISCOUNT#Discount#
38,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_OVERCHARGE#Overcharge#
39,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_PUSHCART#Pushcart#
40,0,6,4,0,1,1,1,no,0,0,0,none,0	//MC_IDENTIFY#Item Appraisal#
41,0,6,4,0,1,10,1,no,0,0,0,none,0	//MC_VENDING#Vending#
42,1,6,1,0,0,10,1,no,0,0,0,weapon,0	//MC_MAMMONITE#Mammonite#
43,0,0,0,0,0,10,0,no,0,0,0,none,0	//AC_OWL#Owl's Eyes#
44,0,0,0,0,0,10,0,no,0,0,0,none,0	//AC_VULTURE#Vulture's Eyes#
45,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//AC_CONCENTRATION#Improve Concentration#
46,-3,8,1,0,0,10,2,no,0,0,0,weapon,0	//AC_DOUBLE#Double Strafe#
47,-3,6,2,0,2,10,1,no,0,0,0,weapon,2	//AC_SHOWER#Arrow Shower#
48,0,0,0,-1,0,10,0,no,0,0,0,weapon,0	//TF_DOUBLE#Double Attack#
49,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//TF_MISS#Improve Dodge#
50,1,6,1,0,1,10,1,no,0,0,0,weapon,0	//TF_STEAL#Steal#
51,1,6,4,0,1,10,1,no,0,0,0,none,0	//TF_HIDING#Hide#
52,3,6,1,5,0,10,1,no,0,0,0,weapon,0	//TF_POISON#Envenom#
53,9,6,16,5,1,1,1,no,0,0,0,weapon,0	//TF_DETOXIFY#Detoxify#
54,9,6,16,0,1,4,1,yes,0,0,0,magic,0	//ALL_RESURRECTION#Resurrection#

// Second Class Skills
55,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//KN_SPEARMASTERY#Spear Mastery#
56,-2,8,1,0,0,10,3,no,0,0,0,weapon,0	//KN_PIERCE#Pierce#
57,2,6,1,0,1,10,1,no,33,0,0,weapon,2	//KN_BRANDISHSPEAR#Brandish Spear#
58,4,6,1,0,2,10,1,no,0,0,0,weapon,6	//KN_SPEARSTAB#Spear Stab#
59,3:5:7:9:11,6,1,0,0,5,1,no,0,0,0,weapon,0	//KN_SPEARBOOMERANG#Spear Boomerang#
60,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//KN_TWOHANDQUICKEN#Two-Handed Quicken#
61,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//KN_AUTOCOUNTER#Counter Attack#
62,2,6,1,0,2,10,1,no,33,0,0,weapon,1:1:2:2:3:3:4:4:5:6 //KN_BOWLINGBASH#Bowling Bash#
63,0,0,0,0,0,1,0,no,0,0,0,weapon,0	//KN_RIDING#Peco Peco Riding#
