==========================================================================
==========================================================================
 Freya Release 4.0 Effect List Reference
--------------------------------------------------------------------------
--------------------------------------------------------------------------


ID	Description				Aegis Enumeration

0.	Attack Display #1			EF_HIT1
1.	Attack Display #2			EF_HIT2
2.	Attack Display #3			EF_HIT3
3.	Attack Display #4			EF_HIT4
4.	Attack Display #5			EF_HIT5
5.	Attack Display #6			EF_HIT6
6.	Being Warped				EF_ENTRY
7.	Being Healed				EF_EXIT
8.	Yellow Ripple Effect			EF_WARP
9.	Different Type of Heal			EF_ENHANCE
10.	Mammomite				EF_COIN
11.	Endure					EF_ENDURE
12.	Yellow Cast Aura			EF_BEGINSPELL
13.	Blue Box				EF_GLASSWALL
14.	Blue heal? Blue pot?			EF_HEALSP
15.	Soul Strike				EF_SOULSTRIKE
16.	Hide Animation				EF_BASH
17.	Magnum Break				EF_MAGNUMBREAK
18.	Steal					EF_STEAL
19.	Invalid					EF_HIDING
20.	Envenom/Poison				EF_PATTACK
21.	Detoxify				EF_DETOXICATION
22.	Sight					EF_SIGHT
23.	Stone Curse				EF_STONECURSE
24.	Fire Ball				EF_FIREBALL
25.	Fire Wall				EF_FIREWALL
26.	Only a Sound				EF_ICEARROW
27.	Frost Driver Road			EF_FROSTDIVER
28.	Frost Driver Hitting			EF_FROSTDIVER2
29.	Lightning Bolt				EF_LIGHTBOLT
30.	Thunder Storm				EF_THUNDERSTORM
31.	Bubbles Launchers			EF_FIREARROW
32.	Explosion				EF_NAPALMBEAT
33.	Ruwach					EF_RUWACH
34.	Warp Out Aura (Blue)			EF_TELEPORTATION
35.	Casting Warp Portal (Blue)		EF_READYPORTAL
36.	Warp Portal (Blue)			EF_PORTAL
37.	Agility Up				EF_INCAGILITY
38.	Agility Down				EF_DECAGILITY
39.	Something Being Made			EF_AQUA
40.	Cross Thing (Paladin Skill?)		EF_SIGNUM
41.	Angelus Bell				EF_ANGELUS
42.	Blessing Angels				EF_BLESSING
43.	Dex + Agi Up				EF_INCAGIDEX
44.	Little Fog Smoke.			EF_SMOKE
45.	Faint Little Ball Things.		EF_FIREFLY
46.	Sand Wind				EF_SANDWIND
47.	Torch					EF_TORCH
48.	Small Piece of Glass			EF_SPRAYPOND
49.	Firebolt/Wall Hits			EF_FIREHIT
50.	Spinning Fire Thing			EF_FIRESPLASHHIT
51.	Icebolt Hit				EF_COLDHIT
52.	Like Jupitel Thunder?			EF_WINDHIT
53.	Puff of Purpulish Smoke?		EF_POISONHIT
54.	Cast Animation #1			EF_BEGINSPELL2
55.	Cast Animation #2			EF_BEGINSPELL3
56.	Cast Animation #3			EF_BEGINSPELL4
57.	Cast Animation #4			EF_BEGINSPELL5
58.	Cast Animation #5			EF_BEGINSPELL6
59.	Cast Animation #6			EF_BEGINSPELL7
60.	Cast target circle			EF_LOCKON
61.	Warp portal (for maps)			EF_WARPZONE
62.	Sight Trasher				EF_SIGHTHRASHER
63.	Moonlight Sphere			EF_BARRIER
